Unit,Product,BALANCE,Country,Time,Value
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-Apr,493
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-May,522
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-Jun,510
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-Jul,488
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-Aug,501
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-Sep,517
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-Oct,530
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-Nov,533
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-Dec,503
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-Jan,513
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-Feb,508
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-Mar,493
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-Apr,493
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-May,510
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-Jun,490
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-Jul,489
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-Aug,558
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-Sep,529
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-Oct,546
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-Nov,527
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,24-Dec,512
